"Id","DisplayName"
"62e90394-69f5-4237-9190-012177145e10","Global Administrator"
"10dae51f-b6af-4016-8d66-8c2a99b929b3","Guest User"
"2af84b1e-32c8-42b7-82bc-daa82404023b","Restricted Guest User"
"95e79109-95c0-4d8e-aee3-d01accf2d47b","Guest Inviter"
"fe930be7-5e62-47db-91af-98c3a49a38b1","User Administrator"
"729827e3-9c14-49f7-bb1b-9608f156bbb8","Helpdesk Administrator"
"f023fd81-a637-4b56-95fd-791ac0226033","Service Support Administrator"
"b0f54661-2d74-4c50-afa3-1ec803f12efe","Billing Administrator"
"a0b1b346-4d3e-4e8b-98f8-753987be4970","User"
"4ba39ca4-527c-499a-b93d-d9b492c50246","Partner Tier1 Support"
"e00e864a-17c5-4a4b-9c06-f5b95a8d5bd8","Partner Tier2 Support"
"88d8e3e3-8f55-4a1e-953a-9b9898b8876b","Directory Readers"
"9360feb5-f418-4baa-8175-e2a00bac4301","Directory Writers"
"29232cdf-9323-42fd-ade2-1d097af3e4de","Exchange Administrator"
"f28a1f50-f6e7-4571-818b-6a12f2af6b6c","SharePoint Administrator"
"75941009-915a-4869-abe7-691bff18279e","Skype for Business Administrator"
"d405c6df-0af8-4e3b-95e4-4d06e542189e","Device Users"
"9f06204d-73c1-4d4c-880a-6edb90606fd8","Azure AD Joined Device Local Administrator"
"9c094953-4995-41c8-84c8-3ebb9b32c93f","Device Join"
"c34f683f-4d5a-4403-affd-6615e00e3a7f","Workplace Device Join"
"17315797-102d-40b4-93e0-432062caca18","Compliance Administrator"
"d29b2b05-8046-44ba-8758-1e26182fcf32","Directory Synchronization Accounts"
"2b499bcd-da44-4968-8aec-78e1674fa64d","Device Managers"
"9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3","Application Administrator"
"cf1c38e5-3621-4004-a7cb-879624dced7c","Application Developer"
"5d6b6bb7-de71-4623-b4af-96380a352509","Security Reader"
"194ae4cb-b126-40b2-bd5b-6091b380977d","Security Administrator"
"e8611ab8-c189-46e8-94e1-60213ab1f814","Privileged Role Administrator"
"3a2c62db-5318-420d-8d74-23affee5d9d5","Intune Administrator"
"158c047a-c907-4556-b7ef-446551a6b5f7","Cloud Application Administrator"
