"Date","CustomerName","Package","BillableUsers"
"2026-08-07","Ameriserve","advanced_plus","301"
"2026-08-07","Beaumont Products","advanced_plus","48"
"2026-08-07","Beckway","advanced_plus","196"
"2026-08-07","Boxercraft","advanced_plus","68"
"2026-08-07","Brasington Bailey Contractors, Inc.","advanced_plus","61"
"2026-08-07","Cabot Wealth Network","advanced_plus","22"
"2026-08-07","D'Huyvetter & Swichkow","advanced_plus","10"
"2026-08-07","EB Medicine","advanced_plus","34"
"2026-08-07","Elite Administration & Insurance Group","advanced_plus","48"
"2026-08-07","General Wholesale Company","advanced_plus","418"
"2026-08-07","Geosurvey LTD","advanced_plus","32"
"2026-08-07","German American Chamber of Commerce","advanced_plus","36"
"2026-08-07","Habitat for Humanity","advanced_plus","25"
"2026-08-07","Katz Capital Management LLC","advanced_plus","1"
"2026-08-07","Pagnotti Enterprises, Inc","advanced_plus","17"
"2026-08-07","Patriot Select","advanced_plus","25"
"2026-08-07","Powell Tool Supply, Inc.","advanced_plus","27"
"2026-08-07","RTCO Packaging","advanced_plus","10"
"2026-08-07","SKL'D Staffing","advanced_plus","24"
"2026-08-07","Soteria Flexibles","advanced_plus","132"
"2026-08-07","The Searchlogix Group","advanced_plus","4"
"2026-08-07","Turner Chapel AME Church","advanced_plus","77"
"2026-08-07","United Sales Agency","advanced_plus","15"
"2026-08-07","WLM Contracting","advanced_plus","21"
"2026-08-07","Worley, Schilling & Randall","advanced_plus","19"
